epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
168,161.642,0.40089,0.33392,0.81272,0.99461,1,0.995,0.82029,0.67902,0.33939,0.84278,0.000288974,0.000288974,0.000288974
169,162.557,0.42085,0.3571,0.83481,0.9947,1,0.995,0.81667,0.6815,0.33981,0.8428,0.000280723,0.000280723,0.000280723
170,163.598,0.42192,0.36306,0.84577,0.99508,1,0.995,0.82595,0.68472,0.33655,0.8435,0.000272471,0.000272471,0.000272471
171,164.476,0.43898,0.34856,0.83785,0.99555,1,0.995,0.82307,0.68917,0.33644,0.8445,0.00026422,0.00026422,0.00026422
172,165.365,0.42801,0.34345,0.82157,0.9962,1,0.995,0.81825,0.69269,0.34429,0.84649,0.000255968,0.000255968,0.000255968
173,166.247,0.43512,0.33941,0.84516,0.99667,1,0.995,0.82616,0.69313,0.34689,0.84836,0.000247716,0.000247716,0.000247716
174,167.137,0.40127,0.36716,0.8275,0.99671,1,0.995,0.82757,0.69062,0.34858,0.84827,0.000239465,0.000239465,0.000239465
175,168.02,0.41502,0.34319,0.82082,0.99663,1,0.995,0.82392,0.69093,0.34781,0.84772,0.000231213,0.000231213,0.000231213
176,168.913,0.4561,0.36009,0.84736,0.99632,1,0.995,0.8292,0.68936,0.34093,0.84859,0.000222961,0.000222961,0.000222961
177,169.808,0.41942,0.35879,0.84924,0.9957,1,0.995,0.82848,0.68455,0.33947,0.84796,0.00021471,0.00021471,0.00021471
178,170.684,0.41194,0.34178,0.85054,0.99494,1,0.995,0.83357,0.67821,0.33835,0.84585,0.000206458,0.000206458,0.000206458
179,171.598,0.40362,0.31716,0.8325,0.99449,1,0.995,0.82958,0.67654,0.33758,0.84456,0.000198206,0.000198206,0.000198206
180,172.501,0.43033,0.34855,0.83102,0.9944,1,0.995,0.8279,0.67672,0.33326,0.84414,0.000189955,0.000189955,0.000189955
181,173.369,0.41746,0.37038,0.82713,0.99427,1,0.995,0.82942,0.67682,0.32979,0.8444,0.000181703,0.000181703,0.000181703
182,174.242,0.40915,0.34751,0.82689,0.99425,1,0.995,0.82992,0.67513,0.32872,0.84312,0.000173451,0.000173451,0.000173451
183,175.122,0.41458,0.32903,0.8409,0.99432,1,0.995,0.8376,0.66987,0.32365,0.84122,0.0001652,0.0001652,0.0001652
184,175.993,0.42682,0.32872,0.84933,0.99436,1,0.995,0.85029,0.66982,0.32409,0.8412,0.000156948,0.000156948,0.000156948
185,176.868,0.39011,0.32494,0.84669,0.99434,1,0.995,0.85179,0.66943,0.32434,0.84108,0.000148696,0.000148696,0.000148696
186,177.742,0.42113,0.34161,0.8253,0.99416,1,0.995,0.84142,0.66814,0.32376,0.83978,0.000140445,0.000140445,0.000140445
187,178.753,0.4185,0.34555,0.85343,0.99408,1,0.995,0.83795,0.66761,0.32883,0.8385,0.000132193,0.000132193,0.000132193
188,179.672,0.39659,0.32852,0.81334,0.99394,1,0.995,0.82219,0.67163,0.33212,0.83743,0.000123941,0.000123941,0.000123941
189,180.556,0.411,0.33322,0.83446,0.99399,1,0.995,0.81856,0.67577,0.32695,0.83892,0.00011569,0.00011569,0.00011569
